epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4915,2.51543,2.38542,1.68527,0.63281,0.51853,0.59997,0.24207,2.27709,1.69963,1.51978,0.00010002,0.00010002,0.00010002
2,78.3415,2.02634,1.51043,1.36206,0.80949,0.60465,0.71661,0.29126,2.12354,1.3664,1.52437,0.000212419,0.000212419,0.000212419
3,114.82,1.97199,1.14058,1.31916,0.76212,0.72518,0.75133,0.29717,2.13387,1.67774,1.50719,0.000320197,0.000320197,0.000320197
4,155.316,1.90146,1.06788,1.24335,0.34477,0.66935,0.33618,0.12291,2.10895,3.36159,1.50805,0.000423355,0.000423355,0.000423355
5,191.218,1.83321,1.07029,1.25655,0.69524,0.85007,0.81515,0.29767,2.03602,1.64634,1.43333,0.000521891,0.000521891,0.000521891
6,227.466,1.83429,1.11885,1.21302,0.75218,0.77482,0.80662,0.30379,2.12317,1.31577,1.43815,0.000615806,0.000615806,0.000615806
7,264.344,1.79624,0.98752,1.17442,0.73026,0.69704,0.78333,0.3452,2.08364,1.27842,1.49496,0.000705101,0.000705101,0.000705101
8,300.394,1.81566,0.92098,1.20975,0.74657,0.58324,0.70287,0.28023,2.15126,1.43065,1.51737,0.000789775,0.000789775,0.000789775
9,339.282,1.869,0.95702,1.21693,0.75758,0.53384,0.59675,0.22271,2.33914,1.5252,1.67164,0.000869827,0.000869827,0.000869827
10,375.563,1.84754,1.00246,1.26892,0.49364,0.7293,0.5171,0.19191,2.16413,1.32537,1.51443,0.000945259,0.000945259,0.000945259
11,410.43,1.82281,0.94451,1.2104,0.72147,0.62651,0.61529,0.24744,2.27966,1.29224,1.55437,0.00101607,0.00101607,0.00101607
12,445.058,1.81113,0.9261,1.23903,0.68408,0.6429,0.71562,0.28307,2.1582,1.24404,1.49972,0.00108226,0.00108226,0.00108226
13,479.739,1.75244,0.90625,1.1728,0.66092,0.65711,0.61512,0.24077,2.21124,1.38441,1.55593,0.00114383,0.00114383,0.00114383
14,514.155,1.75983,0.88463,1.17292,0.85435,0.7673,0.86217,0.3568,2.10515,1.02322,1.44496,0.00120078,0.00120078,0.00120078
15,549.026,1.76355,0.86136,1.19491,0.81504,0.67939,0.82181,0.32008,2.12297,1.078,1.49132,0.00120491,0.00120491,0.00120491
16,589.975,1.7824,0.82202,1.22169,0.88097,0.74919,0.83587,0.35396,2.0936,0.96027,1.46917,0.0011719,0.0011719,0.0011719
17,633.364,1.72099,0.85549,1.19112,0.73656,0.80621,0.71533,0.30214,2.11601,1.08464,1.50215,0.00113889,0.00113889,0.00113889
18,690.461,1.80162,0.84494,1.2522,0.73645,0.84572,0.77552,0.32274,2.11904,1.0726,1.46999,0.00110589,0.00110589,0.00110589
19,724.577,1.82676,0.85667,1.2585,0.80321,0.68414,0.7598,0.3233,2.19951,1.25959,1.57285,0.00107288,0.00107288,0.00107288
20,761.274,1.71779,0.84698,1.18939,0.72884,0.89811,0.84354,0.38406,2.03119,1.02614,1.44311,0.00103987,0.00103987,0.00103987
21,795.948,1.74707,0.81624,1.16926,0.75312,0.86673,0.80613,0.38356,2.03836,1.04062,1.43039,0.00100687,0.00100687,0.00100687
22,830.154,1.70449,0.80578,1.15115,0.77176,0.81359,0.84652,0.39599,2.05128,0.98799,1.4597,0.000973861,0.000973861,0.000973861
23,866.627,1.71385,0.80201,1.16715,0.8174,0.80177,0.86234,0.39598,2.07286,1.01081,1.44622,0.000940855,0.000940855,0.000940855
24,910.03,1.68638,0.79279,1.1708,0.69183,0.76423,0.78293,0.35781,2.16769,0.99338,1.51085,0.000907848,0.000907848,0.000907848
25,2076.62,1.63331,0.74584,1.13725,0.72301,0.8022,0.80091,0.37167,2.14054,0.96109,1.5016,0.000874842,0.000874842,0.000874842
26,2115.29,1.63707,0.75219,1.11216,0.76569,0.80943,0.81412,0.35894,2.17811,0.89182,1.54247,0.000841835,0.000841835,0.000841835
27,2153.99,1.56088,0.72663,1.13332,0.79089,0.81652,0.83573,0.34651,2.16715,0.94368,1.4998,0.000808828,0.000808828,0.000808828
28,2197.65,1.59136,0.73441,1.12343,0.729,0.8162,0.77185,0.34416,2.17938,0.95084,1.52744,0.000775822,0.000775822,0.000775822
29,6390.62,1.58087,0.73872,1.13389,0.80214,0.84455,0.83541,0.35751,2.1507,0.9419,1.51185,0.000742815,0.000742815,0.000742815
