epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12403,1.67344,3.6014,1.42221,0.00205,1,0.80476,0.47085,1.28744,3.05265,1.06277,0.00012,0.00012,0.00012
2,13.7247,1.43881,2.2139,1.17727,0.01206,0.92308,0.87258,0.55489,1.25043,2.68667,0.98931,0.000257426,0.000257426,0.000257426
3,20.0891,1.43945,1.83638,1.21135,0.64014,0.84615,0.82202,0.47599,1.26549,2.92306,1.05947,0.00039208,0.00039208,0.00039208
4,26.2873,1.24907,1.7103,1.20272,0.0026,1,0.75422,0.49372,1.18689,2.90398,1.05499,0.000523962,0.000523962,0.000523962
5,32.6959,1.33944,1.58364,1.23871,1,0.52447,0.72848,0.47912,1.18709,2.89646,1.09369,0.000653072,0.000653072,0.000653072
6,39.3047,1.4303,1.69614,1.30528,0.0024,1,0.78719,0.516,1.15335,2.98876,1.08399,0.00077941,0.00077941,0.00077941
7,46.3308,1.4028,1.5761,1.28621,0.71869,0.84615,0.81043,0.51939,1.3389,2.92338,1.17415,0.000902976,0.000902976,0.000902976
8,52.6713,1.34114,1.52087,1.29022,0.00273,1,0.78888,0.41278,1.3204,3.10713,1.47408,0.00102377,0.00102377,0.00102377
9,58.6307,1.36128,1.4501,1.32012,0.54232,0.46154,0.47733,0.16722,1.52536,2.8575,1.58952,0.00114179,0.00114179,0.00114179
10,64.6396,1.43555,1.58397,1.29579,0.68317,0.53846,0.61094,0.22058,1.66518,2.59882,1.71074,0.00125704,0.00125704,0.00125704
11,70.7845,1.32384,1.5584,1.26271,0.81977,0.70038,0.87389,0.4517,1.35824,2.46157,1.41948,0.00136952,0.00136952,0.00136952
12,76.7634,1.37034,1.53493,1.29104,0.71789,0.76923,0.81015,0.36911,1.37237,2.25579,1.30943,0.00147923,0.00147923,0.00147923
13,82.6664,1.44476,1.39223,1.23897,0.82962,0.75039,0.86344,0.34263,1.47646,2.38337,1.38591,0.00158616,0.00158616,0.00158616
14,88.584,1.39448,1.31558,1.28171,1,0.90901,0.98567,0.58396,1.31421,1.90628,1.34717,0.00169032,0.00169032,0.00169032
15,94.6779,1.4155,1.30623,1.34138,0.98229,1,0.995,0.61256,1.36281,1.61393,1.45924,0.0017228,0.0017228,0.0017228
16,100.722,1.47747,1.30249,1.34367,0.67915,1,0.88172,0.50378,1.35108,2.10641,1.48031,0.001703,0.001703,0.001703
17,106.921,1.42185,1.20865,1.29867,0.67428,0.95647,0.821,0.43133,1.34666,2.69202,1.54317,0.0016832,0.0016832,0.0016832
18,113.527,1.53995,1.50274,1.35543,0.51965,0.69231,0.61178,0.31959,1.52182,2.5481,1.60404,0.0016634,0.0016634,0.0016634
19,118.854,1.27158,1.16465,1.29208,0.89297,0.84615,0.93083,0.53398,1.25967,2.29954,1.56852,0.0016436,0.0016436,0.0016436
20,125.157,1.44502,1.29155,1.31936,1,0.91878,0.97853,0.58451,1.37159,2.37612,1.67427,0.0016238,0.0016238,0.0016238
21,131.128,1.41034,1.27478,1.33946,0.98196,0.84615,0.97572,0.5684,1.34965,1.66867,1.55067,0.001604,0.001604,0.001604
22,137.108,1.29743,1.04831,1.2551,1,0.99699,0.995,0.52748,1.41453,1.57483,1.79114,0.0015842,0.0015842,0.0015842
23,143.428,1.32724,1.06234,1.2315,1,0.98671,0.995,0.60086,1.43443,1.27716,1.71471,0.0015644,0.0015644,0.0015644
24,149.421,1.27579,1.07632,1.26898,1,0.99375,0.995,0.57007,1.43046,1.18958,1.61817,0.0015446,0.0015446,0.0015446
25,155.164,1.21283,0.99046,1.18542,0.9935,0.92308,0.98567,0.5381,1.48543,1.06721,1.57168,0.0015248,0.0015248,0.0015248
26,161.241,1.30924,1.16285,1.31949,1,0.9173,0.96636,0.57017,1.51292,1.20947,1.50776,0.001505,0.001505,0.001505
27,167.231,1.24661,0.97103,1.16454,0.99793,0.84615,0.9439,0.43666,1.69437,1.31419,1.77803,0.0014852,0.0014852,0.0014852
28,174.192,1.38028,1.02618,1.2735,0.99212,0.92308,0.939,0.57922,1.25034,1.50815,1.46101,0.0014654,0.0014654,0.0014654
29,180.53,1.39773,1.09972,1.29269,0.98927,0.92308,0.9361,0.59189,1.20133,1.45019,1.43012,0.0014456,0.0014456,0.0014456
30,186.48,1.29548,1.02512,1.30747,0.98914,0.92308,0.96457,0.59308,1.22704,1.12841,1.51126,0.0014258,0.0014258,0.0014258
31,192.328,1.30355,0.99207,1.24926,0.98183,0.69231,0.74323,0.41011,1.43626,3.51615,1.51571,0.001406,0.001406,0.001406
32,198.249,1.39215,1.09313,1.27353,0.90797,0.75976,0.78438,0.45429,1.2809,2.65462,1.37718,0.0013862,0.0013862,0.0013862
33,204.24,1.32159,0.90509,1.26309,0.91606,0.84001,0.87283,0.51866,1.33814,1.36045,1.39999,0.0013664,0.0013664,0.0013664
34,210.434,1.32286,0.92018,1.25249,0.98594,0.92308,0.9614,0.58638,1.28094,1.09645,1.39425,0.0013466,0.0013466,0.0013466
35,216.713,1.15665,0.90336,1.18629,0.91373,0.92308,0.951,0.58351,1.41741,1.32008,1.44061,0.0013268,0.0013268,0.0013268
36,223.083,1.22246,0.8574,1.20401,1,0.91594,0.9575,0.64929,1.20373,1.03554,1.35897,0.001307,0.001307,0.001307
37,229.071,1.20506,0.91584,1.19885,1,0.91775,0.95028,0.6231,1.19082,1.08507,1.37871,0.0012872,0.0012872,0.0012872
